2020-08-31 16:42:00	71	RO3640
2020-08-31 16:42:02	56	RP9174
2020-08-31 16:42:12	58	MP4895
2020-08-31 16:42:20	55	RO8413
2020-08-31 16:42:41	75	SM4936
2020-08-31 16:42:49	62	QO1518
2020-08-31 16:42:53	65	QQ7215
2020-08-31 16:42:59	73	NQ1288
2020-08-31 16:43:23	56	NS7067
2020-08-31 16:43:49	79	SM0403
2020-08-31 16:43:56	78	QS8573
2020-08-31 16:43:58	69	QQ5318
2020-08-31 16:44:03	74	SQ9392
2020-08-31 16:44:05	60	SN3436
2020-08-31 16:44:15	81	RQ3721
2020-08-31 16:44:26	64	ON8470
2020-08-31 16:44:28	61	PQ8733
2020-08-31 16:44:40	62	SP6419
2020-08-31 16:44:44	79	RP2913
2020-08-31 16:44:52	73	OP9216
2020-08-31 16:44:58	75	ON2384
2020-08-31 16:45:22	56	NR9656
2020-08-31 16:45:30	69	MR7921
2020-08-31 16:45:37	53	MQ0610
2020-08-31 16:45:58	59	QO2021
2020-08-31 16:46:18	63	QO9435
2020-08-31 16:46:26	74	QP3204
2020-08-31 16:46:28	58	SO0912
2020-08-31 16:46:38	64	MP2948
2020-08-31 16:47:00	67	RQ2634
2020-08-31 16:47:05	71	PR0901
2020-08-31 16:47:10	66	NN4835
2020-08-31 16:47:18	74	MN0867
2020-08-31 16:47:25	66	RN6677
2020-08-31 16:47:27	58	MO8619
2020-08-31 16:47:28	68	MR9714
2020-08-31 16:47:46	69	RO8200
2020-08-31 16:47:57	54	SS6023
2020-08-31 16:48:15	72	RP0805
2020-08-31 16:48:19	65	MR0735
2020-08-31 16:48:38	75	RP6409
2020-08-31 16:48:43	55	MO3156
2020-08-31 16:48:54	79	NM8765
2020-08-31 16:49:11	69	SM1378
2020-08-31 16:49:16	67	NS5465
2020-08-31 16:49:28	76	MN3111
2020-08-31 16:49:31	49	PQ5258
2020-08-31 16:49:35	66	SO4159
2020-08-31 16:50:11	58	OM9264
2020-08-31 16:50:24	52	MM4703
2020-08-31 16:50:37	63	QQ7374
2020-08-31 16:51:09	63	SR1011
2020-08-31 16:51:16	74	PN7570
2020-08-31 16:51:40	61	QO6356
2020-08-31 16:51:42	61	NP0483
2020-08-31 16:51:46	70	QM5201
2020-08-31 16:52:02	56	QP3669
2020-08-31 16:52:11	71	SP8472
2020-08-31 16:52:24	37	NP0000
2020-08-31 16:52:46	62	MR6592
2020-08-31 16:53:09	44	NO0079
2020-08-31 16:53:24	58	SN5442
2020-08-31 16:53:42	79	QR4304
2020-08-31 16:53:54	49	MS3103
2020-08-31 16:54:17	76	QQ7306
2020-08-31 16:54:20	74	PS3396
2020-08-31 16:54:20	52	SM5292
2020-08-31 16:54:24	62	RP9560
2020-08-31 16:54:26	65	MN1551
2020-08-31 16:54:32	52	MQ8623
2020-08-31 16:54:39	67	QO8383
2020-08-31 16:54:44	72	MN4936
2020-08-31 16:55:00	66	NN7268
2020-08-31 16:55:08	69	OM0839
2020-08-31 16:55:14	71	SR5679
2020-08-31 16:55:21	56	QQ8651
2020-08-31 16:55:24	69	QO2047
2020-08-31 16:55:37	75	ON3701
2020-08-31 16:55:38	66	MS1221
2020-08-31 16:55:49	68	RP2122
2020-08-31 16:56:00	69	RN3201
2020-08-31 16:56:10	65	QO7517
2020-08-31 16:56:16	60	SM2534
2020-08-31 16:56:19	73	RO5976
2020-08-31 16:56:56	81	PP7622
2020-08-31 16:57:08	78	SS9537
2020-08-31 16:57:23	66	MR3657
2020-08-31 16:57:34	66	RP9356
2020-08-31 16:57:38	70	QS8965
2020-08-31 16:57:45	68	RP2590
2020-08-31 16:57:58	49	RQ3315
2020-08-31 16:58:06	73	SS5953
2020-08-31 16:58:09	60	OM1024
2020-08-31 16:58:12	71	NP5230
2020-08-31 16:58:20	68	PP0581
2020-08-31 16:58:32	53	OQ2372
2020-08-31 16:58:38	62	RS3973
2020-08-31 16:58:39	71	OO8927
2020-08-31 16:58:43	67	RO4398
2020-08-31 16:58:49	65	RR5771
